File,Source
khulasah-maghrib-ratib-al-haddad.opus,https://archive.org/download/20210903_20210903_0850/%D8%AE%D9%84%D8%A7%D8%B5%D8%A9%20%D8%A7%D9%84%D9%85%D8%AF%D8%AF%20%D8%A7%D9%84%D9%86%D8%A8%D9%88%D9%8A%20_%20%D8%A7%D9%84%D8%B1%D8%A7%D8%AA%D8%A8%20%D8%A7%D9%84%D8%B4%D9%87%D9%8A%D8%B1%20%D9%84%D9%84%D8%A7%D9%85%D8%A7%D9%85%20%D8%A7%D9%84%D8%AD%D8%AF%D8%A7%D8%AF.mp3
blessed-occasions-adhkar-first-ten-days-dhul-hijjah,https://dn720304.ca.archive.org/0/items/dhul-hijjah-tahleel-habib-umar-bin-hafidh/Dhul%20Hijjah%20Tahleel%20-%20Habib%20Umar%20Bin%20Hafidh.mp3
blessed-occasions-dua-nisf-shaban,https://dn720300.ca.archive.org/0/items/dua-2-of-nisfi-shabaan-with-surah-ya-seen-and-dua-by-al-habib-ahmad-mashhur-al-haddad/Dua%202%20of%20Nisfi-Sha%27baan%20with%20Surah%20YaSeen%20and%20Du%27a%20by%20al-Habib%20Ahmad%20Mashhur%20al-Haddad.mp3
blessed-occasions-rajab-istighfar,https://dn720305.ca.archive.org/0/items/scloudtomp-3downloader.com/-%D8%B4%D9%87%D8%B1-%D8%B1%D8%AC%D8%A8-%D8%A8%D8%B5%D9%88%D8%AA-%D8%A7%D9%84_-%D8%A8%D9%8A%D8%A8-%D8%B9%D9%85%D8%B1-scloudtomp3downloader.com.mp3
hadrah-ba-sawdan,https://dn721804.ca.archive.org/0/items/20220606_20220606_1203/%D8%AD%D8%B6%D8%B1%D8%A9%20%D8%A8%D8%A7%D8%B3%D9%88%D8%AF%D8%A7%D9%86%20%20%D8%A8%D8%B5%D9%88%D8%AA%20%D8%A7%D9%84%D8%AD%D8%A8%D9%8A%D8%A8%20%D9%85%D8%B4%D9%87%D9%88%D8%B1%20%D8%A8%D9%86%20%D8%AD%D9%81%D9%8A%D8%B8.mp3
hadrah-badriyyah,https://dn720300.ca.archive.org/0/items/20211123_20211123_1702/%D8%B4%D8%A7%D9%87%D8%AF%20%D8%A7%D9%84%D8%AD%D8%B6%D8%B1%D8%A9%20%D8%A7%D9%84%D8%A8%D8%AF%D8%B1%D9%8A%D8%A9%20%D9%84%D9%84%D8%AD%D8%A8%D9%8A%D8%A8%20%D8%A7%D9%84%D8%B9%D9%84%D8%A7%D9%85%D8%A9%20%D8%B9%D9%85%D8%B1%20%D8%A8%D9%86%20%D8%AD%D9%81%D9%8A%D8%B8%20%D9%83%D8%A7%D9%85%D9%84%D8%A9%20%D8%A8%D8%AF%D8%A7%D8%B1%20%D8%A7%D9%84%D9%85%D8%B5%D8%B7%D9%81%D9%89%20%D8%A8%D8%AA%D8%B1%D9%8A%D9%85..mp3
khulasah-after-asr-hizb-al-bahr,https://dn710007.ca.archive.org/0/items/20210903_20210903_0850/%D8%AE%D9%84%D8%A7%D8%B5%D8%A9%20%D8%A7%D9%84%D9%85%D8%AF%D8%AF%20%D8%A7%D9%84%D9%86%D8%A8%D9%88%D9%8A%20_%20%D8%AD%D8%B2%D8%A8%20%D8%A7%D9%84%D8%A8%D8%AD%D8%B1%20%D9%84%D9%84%D8%A7%D9%85%D8%A7%D9%85%20%D8%A7%D8%A8%D9%8A%20%D8%A7%D9%84%D8%AD%D8%B3%D9%86%20%D8%A7%D9%84%D8%B4%D8%A7%D8%B0%D9%84%D9%8A.mp3
khulasah-after-asr-surah-al-waqiah,https://dn710007.ca.archive.org/0/items/20210903_20210903_0850/%D8%AE%D9%84%D8%A7%D8%B5%D8%A9%20%D8%A7%D9%84%D9%85%D8%AF%D8%AF%20%D8%A7%D9%84%D9%86%D8%A8%D9%88%D9%8A%20_%20%D8%A7%D8%B0%D9%83%D8%A7%D8%B1%20%D9%85%D8%A7%D8%A8%D8%B9%D8%AF%20%D8%A7%D9%84%D8%B9%D8%B5%D8%B1.mp3
khulasah-after-every-prayer-adkhar,https://dn710007.ca.archive.org/0/items/20210903_20210903_0850/%D8%AE%D9%84%D8%A7%D8%B5%D8%A9%20%D8%A7%D9%84%D9%85%D8%AF%D8%AF%20%D8%A7%D9%84%D9%86%D8%A8%D9%88%D9%8A%20_%20%D8%A3%D8%B0%D9%83%D8%A7%D8%B1%20%D9%85%D8%A7%D8%A8%D8%B9%D8%AF%20%D8%A7%D9%84%D8%B5%D9%84%D8%A7%D8%A9.mp3
khulasah-wird-latif-morning,https://dn710007.ca.archive.org/0/items/20210903_20210903_0850/%D8%AE%D9%84%D8%A7%D8%B5%D8%A9%20%D8%A7%D9%84%D9%85%D8%AF%D8%AF%20%D8%A7%D9%84%D9%86%D8%A8%D9%88%D9%8A%20_%20%D8%A7%D9%84%D9%88%D8%B1%D8%AF%20%D8%A7%D9%84%D9%84%D8%B7%D9%8A%D9%81.mp3
khulasah-wird-latif-evening,https://dn720304.ca.archive.org/0/items/ythub.-cc-cutter-habib-umar-khulasa-18-wird-al-latif-night-128k/%5BYTHUB.CC%5D%20%28Cutter%29%20Habib%20Umar%20-%20Khulasa%20-%2018%20Wird%20Al%20Latif%20%5BNight%5D-128k.mp3
khulasah-after-fajr-dua-after-surah-yasin,https://dn710007.ca.archive.org/0/items/20210903_20210903_0850/%D8%AE%D9%84%D8%A7%D8%B5%D8%A9%20%D8%A7%D9%84%D9%85%D8%AF%D8%AF%20%D8%A7%D9%84%D9%86%D8%A8%D9%88%D9%8A%20_%20%D8%A7%D9%84%D8%AF%D8%B9%D8%A7%D8%A1%20%D8%A7%D9%84%D8%B0%D9%8A%20%D9%8A%D9%82%D8%B1%D8%A3%20%D8%A8%D8%B9%D8%AF%20%D8%B3%D9%88%D8%B1%D8%A9%20%D9%8A%D8%B3.mp3
khulasah-after-fajr-wird-as-sakran,https://ia800707.us.archive.org/18/items/20210903_20210903_0850/%D8%AE%D9%84%D8%A7%D8%B5%D8%A9%20%D8%A7%D9%84%D9%85%D8%AF%D8%AF%20%D8%A7%D9%84%D9%86%D8%A8%D9%88%D9%8A%20_%20%D9%88%D8%B1%D8%AF%20%D8%A7%D9%84%D8%A7%D9%85%D8%A7%D9%85%20%D8%A7%D8%A8%D9%8A%20%D8%A8%D9%83%D8%B1%20%D8%A7%D9%84%D8%B3%D9%82%D8%A7%D9%81.mp3
khulasah-after-fajr-wird-of-imam-an-nawawi,https://dn710007.ca.archive.org/0/items/20210903_20210903_0850/%D8%AE%D9%84%D8%A7%D8%B5%D8%A9%20%D8%A7%D9%84%D9%85%D8%AF%D8%AF%20%D8%A7%D9%84%D9%86%D8%A8%D9%88%D9%8A%20_%20%D9%88%D8%B1%D8%AF%20%D8%A7%D9%84%D8%A7%D9%85%D8%A7%D9%85%20%D8%A7%D9%84%D9%86%D9%88%D9%88%D9%8A.mp3
khulasah-after-fajr-wird-of-shaykh-abu-bakr-bin-salim,https://dn710007.ca.archive.org/0/items/20210903_20210903_0850/%D8%AE%D9%84%D8%A7%D8%B5%D8%A9%20%D8%A7%D9%84%D9%85%D8%AF%D8%AF%20%D8%A7%D9%84%D9%86%D8%A8%D9%88%D9%8A%20_%20%D9%88%D8%B1%D8%AF%20%D8%A7%D9%84%D8%B4%D9%8A%D8%AE%20%D8%A7%D8%A8%D9%88%D8%A8%D9%83%D8%B1%20%D8%A8%D9%86%20%D8%B3%D8%A7%D9%84%D9%85.mp3
khulasah-after-isha-surah-al-mulk,https://dn710007.ca.archive.org/0/items/20210903_20210903_0850/Surah%20al-Mulk%20recited%20by%20Habib%20Umar%20bin%20Hafiz.mp3
khulasah-dhuhr-adhkar,https://ia800707.us.archive.org/18/items/20210903_20210903_0850/%D8%AE%D9%84%D8%A7%D8%B5%D8%A9%20%D8%A7%D9%84%D9%85%D8%AF%D8%AF%20%D8%A7%D9%84%D9%86%D8%A8%D9%88%D9%8A%20_%20%D8%AD%D8%B2%D8%A8%20%D8%A7%D9%84%D9%86%D8%B5%D8%B1%20%D9%84%D9%84%D8%A7%D9%85%D8%A7%D9%85%20%D8%A7%D9%84%D8%AD%D8%AF%D8%A7%D8%AF.mp3
khulasah-friday-opening-supplication,https://dn710007.ca.archive.org/0/items/20210903_20210903_0850/%D8%AE%D9%84%D8%A7%D8%B5%D8%A9%20%D8%A7%D9%84%D9%85%D8%AF%D8%AF%20%D8%A7%D9%84%D9%86%D8%A8%D9%88%D9%8A%20_%20%D8%A3%D8%B0%D9%83%D8%A7%D8%B1%20%D9%85%D8%A7%D8%A8%D8%B9%D8%AF%20%D8%B5%D9%84%D8%A7%D8%A9%20%D8%A7%D9%84%D9%81%D8%AC%D8%B1.mp3
khulasah-friday-surah-ad-dukhan,https://dn710007.ca.archive.org/0/items/20210903_20210903_0850/Surah%20al-Dukhan%20recited%20by%20Habib%20Umar%20bin%20Hafiz.mp3
khulasah-friday-surah-al-kahf,https://dn721808.ca.archive.org/0/items/20210908_20210908_0742/%D8%B3%D9%88%D8%B1%D8%A9%20%D8%A7%D9%84%D9%83%D9%87%D9%81-%20%D8%A7%D9%84%D8%AD%D8%A8%D9%8A%D8%A8%20%D8%AD%D8%B3%D9%8A%D9%86%20%D8%A7%D9%84%D8%B3%D9%82%D8%A7%D9%81.mp3
khulasah-friday-surah-al-muzzammil,https://dn710007.ca.archive.org/0/items/20210903_20210903_0850/Maulana%20Shah%20Ahmed%20Noorani%20Siddiqui%20%28%D8%B1%D8%B6%D9%8A%20%D8%A7%D9%84%D9%84%D9%87%20%D8%B9%D9%86%D9%87%E2%80%8E%E2%80%8E%29%20Reciting%20Surah%20Muzammil.mp3
khulasah-maghrib-aqidah-as-sakran,https://dn710009.ca.archive.org/0/items/aqidah-of-shaykh-ali-bin-abu-bakr-as-sakraan/Aqidah%20of%20Shaykh%20Ali%20Bin%20Abu%20Bakr%20As-Sakraan.mp3
khulasah-maghrib-istighfar,https://dn710007.ca.archive.org/0/items/20210903_20210903_0850/%D8%AE%D9%84%D8%A7%D8%B5%D8%A9%20%D8%A7%D9%84%D9%85%D8%AF%D8%AF%20%D8%A7%D9%84%D9%86%D8%A8%D9%88%D9%8A%20_%20%D8%A7%D9%84%D8%A7%D8%B3%D8%AA%D8%BA%D9%81%D8%A7%D8%B1.mp3
khulasah-maghrib-ratib-al-attas,https://ia800206.us.archive.org/10/items/AudioForTheKhulasahOfAl-habibumarB.Hafiz--AwradAndAhzabOfThe/18RatibAl-attas.mp3
khulasah-last-part-of-night-adhkar-before-dawn,
khulasah-last-part-of-night-adhkar-before-fajr-prayer,https://dn721801.ca.archive.org/0/items/02-athkar-akher-al-lail-2/02AthkarAkherAl-lail2.mp3
khulasah-last-part-of-night-poem-of-imam-al-aydarus,https://dn710007.ca.archive.org/0/items/20210903_20210903_0850/%D8%AE%D9%84%D8%A7%D8%B5%D8%A9%20%D8%A7%D9%84%D9%85%D8%AF%D8%AF%20%D8%A7%D9%84%D9%86%D8%A8%D9%88%D9%8A%20_%20%D8%A3%D8%B0%D9%83%D8%A7%D8%B1%20%D9%85%D8%A7%D9%82%D8%A8%D9%84%20%D8%B5%D9%84%D8%A7%D8%A9%20%D8%A7%D9%84%D9%81%D8%AC%D8%B1.mp3
khulasah-various-supplications-dua-end-of-gatherings,https://dn710007.ca.archive.org/0/items/20210903_20210903_0850/%D8%AE%D9%84%D8%A7%D8%B5%D8%A9%20%D8%A7%D9%84%D9%85%D8%AF%D8%AF%20%D8%A7%D9%84%D9%86%D8%A8%D9%88%D9%8A%20_%20%D8%A5%D9%84%D9%87%D9%8A%20%D9%86%D8%B3%D8%A3%D9%84%D9%83%20%D8%A8%D8%A7%D9%84%D8%A5%D8%B3%D9%85%20%D8%A7%D9%84%D8%A3%D8%B9%D8%B8%D9%85.mp3
khulasah-various-supplications-most-wholesome-drink,https://dn720301.ca.archive.org/0/items/duamajalis/duamajalis.mp3
khulasah-various-supplications-during-hardship-poem,https://dn710007.ca.archive.org/0/items/20210903_20210903_0850/%D8%AE%D9%84%D8%A7%D8%B5%D8%A9%20%D8%A7%D9%84%D9%85%D8%AF%D8%AF%20%D8%A7%D9%84%D9%86%D8%A8%D9%88%D9%8A%20_%20%D9%82%D8%AF%20%D9%83%D9%81%D8%A7%D9%86%D9%8A%20%D8%B9%D9%84%D9%85%20%D8%B1%D8%A8%D9%8A.mp3
mawlids-shimmering-light,https://dn720300.ca.archive.org/0/items/shimmering/shimmering.mp3
dalail-khayrat-1---Monday,https://dn720309.ca.archive.org/0/items/part-1-ahk/Part1_AHK.mp3
dalail-khayrat-2---Tuesday,https://dn720309.ca.archive.org/0/items/part-1-ahk/Part2_AHK.mp3
dalail-khayrat-3---Wednesday,https://dn720309.ca.archive.org/0/items/part-1-ahk/Part3_AHK.mp3
dalail-khayrat-4---Thursday,https://dn720309.ca.archive.org/0/items/part-1-ahk/Part4_AHK.mp3
dalail-khayrat-5---Friday,https://dn720309.ca.archive.org/0/items/part-1-ahk/Part5_AHK.mp3
dalail-khayrat-6---Saturday,https://dn720309.ca.archive.org/0/items/part-1-ahk/Part6_AHK.mp3
dalail-khayrat-7---Sunday,https://dn720309.ca.archive.org/0/items/part-1-ahk/Part7_AHK.mp3
dalail-khayrat-8---Monday,https://dn720309.ca.archive.org/0/items/part-1-ahk/Part8_AHK.mp3
